"City|State short|State full|County|City alias"
"Mackenzie|BC|British Columbia||"
"Golden|BC|British Columbia||"
"Raymond|AB|Alberta||"
"Saint-Adolphe-d'Howard|QC|Quebec||"
"Warwick|ON|Ontario||"
"Bowen Island|BC|British Columbia||"
"Bonnechere Valley|ON|Ontario||"
"Windsor|NS|Nova Scotia||"
"Pincher Creek|AB|Alberta||"
"Alnwick|NB|New Brunswick||"
"Westville|NS|Nova Scotia||"
"Fruitvale|BC|British Columbia||"
"Pasadena|NL|Newfoundland and Labrador||"
"Saint-Prosper|QC|Quebec||"
"Ormstown|QC|Quebec||"
"Cardston|AB|Alberta||"
"Westbank|BC|British Columbia||"
"De Salaberry|MB|Manitoba||"
"Headingley|MB|Manitoba||"
"Grande Cache|AB|Alberta||"
"Atholville|NB|New Brunswick||"
"Saint-Agapit|QC|Quebec||"
"Prince Albert No. 461|SK|Saskatchewan||"
"Casselman|ON|Ontario||"
"Saint-Ambroise|QC|Quebec||"
"Hay River|NT|Northwest Territories||"
"Mistissini|QC|Quebec||"
"Studholm|NB|New Brunswick||"
"Lumby|BC|British Columbia||"
"Saint-Faustin--Lac-Carre|QC|Quebec||"
"Morris-Turnberry|ON|Ontario||"
"Placentia|NL|Newfoundland and Labrador||"
"Saint-Pascal|QC|Quebec||"
"Mulmur|ON|Ontario||"
"Blind River|ON|Ontario||"
"Dunham|QC|Quebec||"
"Havre-Saint-Pierre|QC|Quebec||"
"Saint-Anselme|QC|Quebec||"
"Trois-Pistoles|QC|Quebec||"
"Grande-Riviere|QC|Quebec||"
"Powassan|ON|Ontario||"
"Malartic|QC|Quebec||"
"Bonavista|NL|Newfoundland and Labrador||"
"Killarney - Turtle Mountain|MB|Manitoba||"
"Woodlands|MB|Manitoba||"
"Lewisporte|NL|Newfoundland and Labrador||"
"Saint-Denis-de-Brompton|QC|Quebec||"
"Invermere|BC|British Columbia||"
"Salisbury|NB|New Brunswick||"
"Bifrost-Riverton|MB|Manitoba||"
"Buckland No. 491|SK|Saskatchewan||"
"Cartier|MB|Manitoba||"
"Sainte-Anne-des-Lacs|QC|Quebec||"
"Highlands East|ON|Ontario||"
"Alexander|MB|Manitoba||"
"Sainte-Claire|QC|Quebec||"
"Perce|QC|Quebec||"
"Saint-Jean-Port-Joli|QC|Quebec||"
"East Hawkesbury|ON|Ontario||"
"Bright|NB|New Brunswick||"
"Penhold|AB|Alberta||"
"Saint-Andre-d'Argenteuil|QC|Quebec||"
"Saint-Come--Liniere|QC|Quebec||"
"Saint-Sulpice|QC|Quebec||"
"Marathon|ON|Ontario||"
"Forestville|QC|Quebec||"
"Inuvik|NT|Northwest Territories||"
"Richmond|QC|Quebec||"
"Lake Cowichan|BC|British Columbia||"
"Sables-Spanish Rivers|ON|Ontario||"
"Hillsburg-Roblin-Shell River|MB|Manitoba||"
"Port Hawkesbury|NS|Nova Scotia||"
"Three Hills|AB|Alberta||"
"Lorette|MB|Manitoba||"
"Paspebiac|QC|Quebec||"
"Saint-Thomas|QC|Quebec||"
"Saint-Jean-Baptiste|QC|Quebec||"
"Portneuf|QC|Quebec||"
"Pictou|NS|Nova Scotia||"
"Tisdale|SK|Saskatchewan||"
"Lake of Bays|ON|Ontario||"
"High Level|AB|Alberta||"
"Gibbons|AB|Alberta||"
"Bishops Falls|NL|Newfoundland and Labrador||"
"WestLake-Gladstone|MB|Manitoba||"
"Normandin|QC|Quebec||"
"Saint-Alphonse-Rodriguez|QC|Quebec||"
"Beausejour|MB|Manitoba||"
"Dalhousie|NB|New Brunswick||"
"Saint-Alphonse-de-Granby|QC|Quebec||"
"Lac du Bonnet|MB|Manitoba||"
"Clermont|QC|Quebec||"
"Virden|MB|Manitoba||"
"Compton|QC|Quebec||"
"White City|SK|Saskatchewan||"
"Ellison|BC|British Columbia||"
"Mont-Saint-Gregoire|QC|Quebec||"
"Wellington|NB|New Brunswick||"
"Merrickville|ON|Ontario||"
"Saint-Liboire|QC|Quebec||"
"Degelis|QC|Quebec||"
"Morris|MB|Manitoba||"
"Saint-Alexis-des-Monts|QC|Quebec||"
"Cap-Saint-Ignace|QC|Quebec||"
"Saint-Anaclet-de-Lessard|QC|Quebec||"
"Carman|MB|Manitoba||"
"Athens|ON|Ontario||"
"Melancthon|ON|Ontario||"
"Cap Sante|QC|Quebec||"
"Harbour Grace|NL|Newfoundland and Labrador||"
"Houston|BC|British Columbia||"
"Adelaide-Metcalfe|ON|Ontario||"
"Crossfield|AB|Alberta||"
"Springdale|NL|Newfoundland and Labrador||"
"Fort Macleod|AB|Alberta||"
"Athabasca|AB|Alberta||"
"Enderby|BC|British Columbia||"
"Saint-Ferreol-les-Neiges|QC|Quebec||"
"Laurentian Hills|ON|Ontario||"
"Grand Valley|ON|Ontario||"
"Senneterre|QC|Quebec||"
"Sainte-Marie-Madeleine|QC|Quebec||"
"Admaston/Bromley|ON|Ontario||"
"Saint-Gabriel-de-Valcartier|QC|Quebec||"
"North Algona Wilberforce|ON|Ontario||"
"Kingston|NB|New Brunswick||"
"Wawa|ON|Ontario||"
"Saint-Christophe-d'Arthabaska|QC|Quebec||"
"Sainte-Melanie|QC|Quebec||"
"Ascot Corner|QC|Quebec||"
"Horton|ON|Ontario||"
"Saint-Michel|QC|Quebec||"
"Botwood|NL|Newfoundland and Labrador||"
"Saint-Paul-d'Abbotsford|QC|Quebec||"
"Saint-Marc-des-Carrieres|QC|Quebec||"
"Stanstead|QC|Quebec||"
"Sainte-Anne-de-Beaupre|QC|Quebec||"
"Sainte-Luce|QC|Quebec||"
"Saint-Gabriel|QC|Quebec||"
"Rankin Inlet|NU|Nunavut||"
"Vanscoy No. 345|SK|Saskatchewan||"
"Cedar|BC|British Columbia||"
"Princeton|BC|British Columbia||"
"La Loche|SK|Saskatchewan||"
"Kingsclear|NB|New Brunswick||"
"Ferme-Neuve|QC|Quebec||"
"Thurso|QC|Quebec||"
"Adstock|QC|Quebec||"
"Shuniah|ON|Ontario||"
"Enniskillen|ON|Ontario||"
"Yamachiche|QC|Quebec||"
"Saint-Maurice|QC|Quebec||"
"Bonaventure|QC|Quebec||"
"Val-Morin|QC|Quebec||"
"Pohenegamook|QC|Quebec||"
"Wakefield|NB|New Brunswick||"
"Stoke|QC|Quebec||"
"Sainte-Marguerite-du-Lac-Masson|QC|Quebec||"
"Saint-Prime|QC|Quebec||"
"Kuujjuaq|QC|Quebec||"
"Atikokan|ON|Ontario||"
"Grenville-sur-la-Rouge|QC|Quebec||"
"North Cypress-Langford|MB|Manitoba||"
"Sainte-Anne-de-Sorel|QC|Quebec||"
"Macamic|QC|Quebec||"
"Sundre|AB|Alberta||"
"Rougemont|QC|Quebec||"
"Piedmont|QC|Quebec||"
"Grimshaw|AB|Alberta||"
"Lac-des-Ecorces|QC|Quebec||"
"Northeastern Manitoulin and the Islands|ON|Ontario||"
"Pelican Narrows|SK|Saskatchewan||"
"McDougall|ON|Ontario||"
"Black Diamond|AB|Alberta||"
"Saint-Pamphile|QC|Quebec||"
"Bedford|QC|Quebec||"
"Weedon-Centre|QC|Quebec||"
"Lacolle|QC|Quebec||"
"Saint-Gabriel-de-Brandon|QC|Quebec||"
"Errington|BC|British Columbia||"
"Coalhurst|AB|Alberta||"
"French River / Riviere des Francais|ON|Ontario||"
"Arviat|NU|Nunavut||"
"Saint-David-de-Falardeau|QC|Quebec||"
"Markstay|ON|Ontario||"
"Spaniards Bay|NL|Newfoundland and Labrador||"
"Cocagne|NB|New Brunswick||"
"Saint-Bruno|QC|Quebec||"
"Chetwynd|BC|British Columbia||"
"Laurier-Station|QC|Quebec||"
"Saint-Anicet|QC|Quebec||"
"Saint-Mathieu-de-Beloeil|QC|Quebec||"
"Cap-Chat|QC|Quebec||"
"Sexsmith|AB|Alberta||"
"Notre-Dame-de-Lourdes|QC|Quebec||"
"Ville-Marie|QC|Quebec||"
"Saint-Isidore|QC|Quebec||"
"Shippegan|NB|New Brunswick||"
"East Garafraxa|ON|Ontario||"
"Pemberton|BC|British Columbia||"
"Unity|SK|Saskatchewan||"
"Rimbey|AB|Alberta||"
"High Prairie|AB|Alberta||"
"Turner Valley|AB|Alberta||"
"Hanna|AB|Alberta||"
"Fort Smith|NT|Northwest Territories||"
"Maria|QC|Quebec||"
"Saint-Chrysostome|QC|Quebec||"
"Greater Madawaska|ON|Ontario||"
"Berwick|NS|Nova Scotia||"
"Saint-Damase|QC|Quebec||"
"Lincoln|NB|New Brunswick||"
"Disraeli|QC|Quebec||"
"Sainte-Victoire-de-Sorel|QC|Quebec||"
"Meadow Lake No. 588|SK|Saskatchewan||"
"Elkford|BC|British Columbia||"
"Georgian Bay|ON|Ontario||"
"Saint-Alexandre|QC|Quebec||"
"Herbertville|QC|Quebec||"
"Moosomin|SK|Saskatchewan||"
"North Kawartha|ON|Ontario||"
"Sainte-Thecle|QC|Quebec||"
"Trenton|NS|Nova Scotia||"
"Fermont|QC|Quebec||"
"Esterhazy|SK|Saskatchewan||"
"Wickham|QC|Quebec||"
"La Presentation|QC|Quebec||"
"Beaverlodge|AB|Alberta||"
"Sainte-Catherine-de-Hatley|QC|Quebec||"
"Saint-Basile|QC|Quebec||"
"Saint-Raphael|QC|Quebec||"
"Holyrood|NL|Newfoundland and Labrador||"
"Gracefield|QC|Quebec||"
"Saint-Martin|QC|Quebec||"
"Causapscal|QC|Quebec||"
"Brigham|QC|Quebec||"
"Perry|ON|Ontario||"
"Port-Daniel--Gascons|QC|Quebec||"
"Rosetown|SK|Saskatchewan||"
"Minnedosa|MB|Manitoba||"
"Labelle|QC|Quebec||"
"Huntingdon|QC|Quebec||"
"Hebertville|QC|Quebec||"
"Black River-Matheson|ON|Ontario||"
"Saint-Michel-des-Saints|QC|Quebec||"
"Dufferin|MB|Manitoba||"
"Saint-Victor|QC|Quebec||"
"Sicamous|BC|British Columbia||"
"Cap Pele|NB|New Brunswick||"
"Kelsey|MB|Manitoba||"
"Killaloe, Hagarty and Richards|ON|Ontario||"
"Alvinston|ON|Ontario||"
"Dundurn No. 314|SK|Saskatchewan||"
"Saint-Ephrem-de-Beauce|QC|Quebec||"
"Assiniboia|SK|Saskatchewan||"
"Temiscaming|QC|Quebec||"
"Magrath|AB|Alberta||"
"Sainte-Genevieve-de-Berthier|QC|Quebec||"
"Buctouche|NB|New Brunswick||"
"Grand Manan|NB|New Brunswick||"
"Sainte-Madeleine|QC|Quebec||"
"Boissevain|MB|Manitoba||"
"Scott|QC|Quebec||"
"Sainte-Croix|QC|Quebec||"
"Algonquin Highlands|ON|Ontario||"
"Valcourt|QC|Quebec||"
"Saint George|NB|New Brunswick||"
"Paquetville|NB|New Brunswick||"
"Saint-Dominique|QC|Quebec||"
"Clearwater|BC|British Columbia||"
"Addington Highlands|ON|Ontario||"
"Lillooet|BC|British Columbia||"
"Burin|NL|Newfoundland and Labrador||"
"Grand Bank|NL|Newfoundland and Labrador||"
"Lery|QC|Quebec||"
"Minto|NB|New Brunswick||"
"Rosthern No. 403|SK|Saskatchewan||"
"Chase|BC|British Columbia||"
"Mansfield-et-Pontefract|QC|Quebec||"
"Saint-Denis|QC|Quebec||"
"Outlook|SK|Saskatchewan||"
"Mitchell|MB|Manitoba||"
"Saint-Gedeon-de-Beauce|QC|Quebec||"
"Saint-Leonard-d'Aston|QC|Quebec||"
"Lunenburg|NS|Nova Scotia||"
"Northesk|NB|New Brunswick||"
"Albanel|QC|Quebec||"
"St. Anthony|NL|Newfoundland and Labrador||"
"Pessamit|QC|Quebec||"
"Maskinonge|QC|Quebec||"
"Saint-Charles-de-Bellechasse|QC|Quebec||"
"Fogo Island|NL|Newfoundland and Labrador||"
"East Broughton|QC|Quebec||"
"Lantz|NS|Nova Scotia||"
"Calmar|AB|Alberta||"
"Highlands|BC|British Columbia||"
"Saint-Polycarpe|QC|Quebec||"
"Logy Bay-Middle Cove-Outer Cove|NL|Newfoundland and Labrador||"
"Deschambault|QC|Quebec||"
"Canora|SK|Saskatchewan||"
"Upper Miramichi|NB|New Brunswick||"
"Anmore|BC|British Columbia||"
"Hardwicke|NB|New Brunswick||"
"Saint-Come|QC|Quebec||"
"Waskaganish|QC|Quebec||"
"Twillingate|NL|Newfoundland and Labrador||"
"Saint-Quentin|NB|New Brunswick||"
"Lebel-sur-Quevillon|QC|Quebec||"
"Pilot Butte|SK|Saskatchewan||"
"Nanton|AB|Alberta||"
"Pierreville|QC|Quebec||"
"New-Wes-Valley|NL|Newfoundland and Labrador||"
"Pennfield Ridge|NB|New Brunswick||"
"West Interlake|MB|Manitoba||"
"Biggar|SK|Saskatchewan||"
"Britannia No. 502|SK|Saskatchewan||"
"Kent|NB|New Brunswick||"
"Wabana|NL|Newfoundland and Labrador||"
"Saint-Gilles|QC|Quebec||"
"Wendake|QC|Quebec||"
"Saint-Bernard|QC|Quebec||"
"Sainte-Cecile-de-Milton|QC|Quebec||"
"Saint-Roch-de-Richelieu|QC|Quebec||"
"Saint-Nazaire|QC|Quebec||"
"Saint-Elzear|QC|Quebec||"
"Hinchinbrooke|QC|Quebec||"
"Saint-Francois-Xavier-de-Brompton|QC|Quebec||"
"Papineauville|QC|Quebec||"
"Prairie View|MB|Manitoba||"
"Cowichan Bay|BC|British Columbia||"
"Saint-Ignace-de-Loyola|QC|Quebec||"
"Central Manitoulin|ON|Ontario||"
"Maple Creek|SK|Saskatchewan||"
"Glovertown|NL|Newfoundland and Labrador||"
"Tofield|AB|Alberta||"
"Madoc|ON|Ontario||"
"Upton|QC|Quebec||"
"Sainte-Anne-de-Sabrevois|QC|Quebec||"
"Logan Lake|BC|British Columbia||"
"Sainte-Anne-de-la-Perade|QC|Quebec||"
"Saint-Damien-de-Buckland|QC|Quebec||"
"Baker Lake|NU|Nunavut||"
"Saltair|BC|British Columbia||"
"Pouch Cove|NL|Newfoundland and Labrador||"
"Saint-Ferdinand|QC|Quebec||"
"Port McNeill|BC|British Columbia||"
"Digby|NS|Nova Scotia||"
"Manouane|QC|Quebec||"
"Saint-Gervais|QC|Quebec||"
"Neebing|ON|Ontario||"
"Redwater|AB|Alberta||"
"Saint-Alexandre-de-Kamouraska|QC|Quebec||"
"Saint-Marc-sur-Richelieu|QC|Quebec||"
"Mandeville|QC|Quebec||"
"Caplan|QC|Quebec||"
"Point Edward|ON|Ontario||"
"Allardville|NB|New Brunswick||"
"Waterville|QC|Quebec||"
"Saint-Damien|QC|Quebec||"
"Lac-Nominingue|QC|Quebec||"
"Obedjiwan|QC|Quebec||"
"Rama|SK|Saskatchewan||"
"McCreary|MB|Manitoba||"
"Deloraine-Winchester|MB|Manitoba||"
"Oakland-Wawanesa|MB|Manitoba||"
"Brenda-Waskada|MB|Manitoba||"
"Russell-Binscarth|MB|Manitoba||"
"Ellice-Archie|MB|Manitoba||"
"Souris-Glenwood|MB|Manitoba||"
"Riverdale|MB|Manitoba||"
"Pembina|MB|Manitoba||"
"Wallace-Woodworth|MB|Manitoba||"
"Lorne|MB|Manitoba||"
"Ethelbert|MB|Manitoba||"
"Yellowhead|MB|Manitoba||"
"Swan Valley West|MB|Manitoba||"
"Grey|MB|Manitoba||"
"Gilbert Plains|MB|Manitoba||"
"Norfolk-Treherne|MB|Manitoba||"
"Hamiota|MB|Manitoba||"
"Emerson-Franklin|MB|Manitoba||"
"Sifton|MB|Manitoba||"
"Rossburn|MB|Manitoba||"
"Grand View|MB|Manitoba||"
"Grassland|MB|Manitoba||"
"Louise|MB|Manitoba||"
"Ste. Rose|MB|Manitoba||"
"Cartwright-Roblin|MB|Manitoba||"
"Mossey River|MB|Manitoba||"
"Lakeshore|MB|Manitoba||"
"Riding Mountain West|MB|Manitoba||"
"Clanwilliam-Erickson|MB|Manitoba||"
"Glenboro-South Cypress|MB|Manitoba||"
"North Norfolk|MB|Manitoba||"
"Reinland|MB|Manitoba||"
"Minitonas-Bowsman|MB|Manitoba||"
"Kippens|NL|Newfoundland and Labrador||"
"Blucher|SK|Saskatchewan||"
"Hatley|QC|Quebec||"
"Saint-Gedeon|QC|Quebec||"
"Kingsey Falls|QC|Quebec||"
"Provost|AB|Alberta||"
"Saint-Charles|NB|New Brunswick||"
"Mattawa|ON|Ontario||"
"Tumbler Ridge|BC|British Columbia||"
"Terrasse-Vaudreuil|QC|Quebec||"
"L'Ascension-de-Notre-Seigneur|QC|Quebec||"
"Bow Island|AB|Alberta||"
"Barraute|QC|Quebec||"
"One Hundred Mile House|BC|British Columbia||"
"Kedgwick|NB|New Brunswick||"
"Gambo|NL|Newfoundland and Labrador||"
"Saint-Liguori|QC|Quebec||"
"Bonfield|ON|Ontario||"
"Pointe-Lebel|QC|Quebec||"
"Saint Mary|NB|New Brunswick||"
"Saint-Patrice-de-Sherrington|QC|Quebec||"
"Fox Creek|AB|Alberta||"
"Dawn-Euphemia|ON|Ontario||"
"Chapleau|ON|Ontario||"
"Saint-Esprit|QC|Quebec||"
"Westfield Beach|NB|New Brunswick||"
"Montague|PE|Prince Edward Island||"
"Mashteuiatsh|QC|Quebec||"
"Saint-Francois-du-Lac|QC|Quebec||"
"Eel River Crossing|NB|New Brunswick||"
"Saint-Fulgence|QC|Quebec||"
"Millet|AB|Alberta||"
"Vallee-Jonction|QC|Quebec||"
"Saint-Georges-de-Cacouna|QC|Quebec||"
"Lumsden No. 189|SK|Saskatchewan||"
"Manitouwadge|ON|Ontario||"
"Wellington|ON|Ontario||"
"Swift Current No. 137|SK|Saskatchewan||"
"Tofino|BC|British Columbia||"
"Fort Qu'Appelle|SK|Saskatchewan||"
"Vulcan|AB|Alberta||"
"Indian Head|SK|Saskatchewan||"
"Petit Rocher|NB|New Brunswick||"
"Wabush|NL|Newfoundland and Labrador||"
"Saint-Fabien|QC|Quebec||"
"Watrous|SK|Saskatchewan||"
"North Frontenac|ON|Ontario||"
"Lac-Superieur|QC|Quebec||"
"Les Escoumins|QC|Quebec||"
"Richibucto|NB|New Brunswick||"
"Riviere-Beaudette|QC|Quebec||"
"Saint-Barthelemy|QC|Quebec||"
"Nisga'a|BC|British Columbia||"
"Austin|QC|Quebec||"
"Saint-Mathieu|QC|Quebec||"
"Saint-Paul-de-l'Ile-aux-Noix|QC|Quebec||"
"Orkney No. 244|SK|Saskatchewan||"
"Behchoko|NT|Northwest Territories||"
"Saint-Joseph-de-Coleraine|QC|Quebec||"
"Saint-Cyprien-de-Napierville|QC|Quebec||"
"Sayabec|QC|Quebec||"
"Valleyview|AB|Alberta||"
"Deleage|QC|Quebec||"
"Potton|QC|Quebec||"
"Sainte-Beatrix|QC|Quebec||"
"Sainte-Justine|QC|Quebec||"
"Eastman|QC|Quebec||"
"Saint-Valerien-de-Milton|QC|Quebec||"
"Saint-Cuthbert|QC|Quebec||"
"Saint-Blaise-sur-Richelieu|QC|Quebec||"
"Middleton|NS|Nova Scotia||"
"Maugerville|NB|New Brunswick||"
"Dalmeny|SK|Saskatchewan||"
"Kamsack|SK|Saskatchewan||"
"Lumsden|SK|Saskatchewan||"
"Trinity Bay North|NL|Newfoundland and Labrador||"
"Saint-Michel-de-Bellechasse|QC|Quebec||"
"Sainte-Angele-de-Monnoir|QC|Quebec||"
"Picture Butte|AB|Alberta||"
"Sacre-Coeur-Saguenay|QC|Quebec||"
"Saint-Louis|NB|New Brunswick||"
"Victoria|NL|Newfoundland and Labrador||"
"Saint-Robert|QC|Quebec||"
"Armstrong|MB|Manitoba||"
"Saint-Pierre-de-l'Ile-d'Orleans|QC|Quebec||"
"La Guadeloupe|QC|Quebec||"
"Saint Andrews|NB|New Brunswick||"
"Burns Lake|BC|British Columbia||"
"Povungnituk|QC|Quebec||"
"Manners Sutton|NB|New Brunswick||"
"Gore|QC|Quebec||"
"Deseronto|ON|Ontario||"
"Lamont|AB|Alberta||"
"Chambord|QC|Quebec||"
"Dudswell|QC|Quebec||"
"Wynyard|SK|Saskatchewan||"
"Cambridge Bay|NU|Nunavut||"
"Saint-Narcisse|QC|Quebec||"
"Frontenac Islands|ON|Ontario||"
"Waswanipi|QC|Quebec||"
"Inukjuak|QC|Quebec||"
"Piney|MB|Manitoba||"
"Komoka|ON|Ontario||"
"Saint-Zacharie|QC|Quebec||"
"Hemmingford|QC|Quebec||"
"Shelburne|NS|Nova Scotia||"
"Saint-Clet|QC|Quebec||"
"Carberry|MB|Manitoba||"
"Brighton|NB|New Brunswick||"
"Saint-Antoine|NB|New Brunswick||"
"Warfield|BC|British Columbia||"
"Northampton|NB|New Brunswick||"
"Saint-Ours|QC|Quebec||"
"Stephenville Crossing|NL|Newfoundland and Labrador||"
"Sainte-Anne-de-la-Pocatiere|QC|Quebec||"
"Ucluelet|BC|British Columbia||"
"Saint-Placide|QC|Quebec||"
"Barriere|BC|British Columbia||"
"Fisher|MB|Manitoba||"
"Nipissing|ON|Ontario||"
"Sainte-Clotilde|QC|Quebec||"
"Shaunavon|SK|Saskatchewan||"
"Wicklow|NB|New Brunswick||"
"Southesk|NB|New Brunswick||"
"Nouvelle|QC|Quebec||"
"Rosthern|SK|Saskatchewan||"
"Yamaska|QC|Quebec||"
"Neguac|NB|New Brunswick||"
"Flat Rock|NL|Newfoundland and Labrador||"
"Igloolik|NU|Nunavut||"
"Grunthal|MB|Manitoba||"
"Naramata|BC|British Columbia||"
"Saint-Elie-de-Caxton|QC|Quebec||"
"Blumenort|MB|Manitoba||"
"Balmoral|NB|New Brunswick||"
"Price|QC|Quebec||"
"Rosedale|MB|Manitoba||"
"Saint-Jacques-le-Mineur|QC|Quebec||"
"Huron Shores|ON|Ontario||"
"Champlain|QC|Quebec||"
"Whitehead|MB|Manitoba||"
"Saint-Antoine-sur-Richelieu|QC|Quebec||"
"Saint-Pacome|QC|Quebec||"
"Saint-Stanislas-de-Kostka|QC|Quebec||"
"Frontenac|QC|Quebec||"
"Stuartburn|MB|Manitoba||"
"Yamaska-Est|QC|Quebec||"
"Sainte-Emelie-de-l'Energie|QC|Quebec||"
"Saint-Charles-sur-Richelieu|QC|Quebec||"
"Saint-Joseph-de-Sorel|QC|Quebec||"
"Nipigon|ON|Ontario||"
"Riviere-Blanche|QC|Quebec||"
"Sainte-Helene-de-Bagot|QC|Quebec||"
"Franklin Centre|QC|Quebec||"
"Harbour Breton|NL|Newfoundland and Labrador||"
"Massey Drive|NL|Newfoundland and Labrador||"
"Mille-Isles|QC|Quebec||"
"Wilton No. 472|SK|Saskatchewan||"
"Lyster|QC|Quebec||"
"Oakview|MB|Manitoba||"
"Balgonie|SK|Saskatchewan||"
"Harrison Park|MB|Manitoba||"
"Kensington|PE|Prince Edward Island||"
"Witless Bay|NL|Newfoundland and Labrador||"
"Pond Inlet|NU|Nunavut||"
"Royston|BC|British Columbia||"
"Sainte-Clotilde-de-Horton|QC|Quebec||"
"Burford|ON|Ontario||"
"Fossambault-sur-le-Lac|QC|Quebec||"
"Saint-Benoit-Labre|QC|Quebec||"
"Coombs|BC|British Columbia||"
"Terrace Bay|ON|Ontario||"
"Chapais|QC|Quebec||"
"Saint-Honore-de-Shenley|QC|Quebec||"
"Cleveland|QC|Quebec||"
"Macdonald, Meredith and Aberdeen Additional|ON|Ontario||"
"Messines|QC|Quebec||"
"Saint-Jean-de-Dieu|QC|Quebec||"
"Nakusp|BC|British Columbia||"
"Florenceville|NB|New Brunswick||"
"Saint-Antoine-de-Tilly|QC|Quebec||"
"Lakeview|BC|British Columbia||"
"Humbermouth|NL|Newfoundland and Labrador||"
"Fort St. James|BC|British Columbia||"
"Saint-Francois-de-la-Riviere-du-Sud|QC|Quebec||"
"Saint-Jacques|NB|New Brunswick||"
"Uashat|QC|Quebec||"
"Perth|NB|New Brunswick||"
"Eeyou Istchee Baie-James|QC|Quebec||"
"Shellbrook No. 493|SK|Saskatchewan||"
"Shawville|QC|Quebec||"
"Saint-Lucien|QC|Quebec||"
"Lambton|QC|Quebec||"
"Saint-Laurent-de-l'Ile-d'Orleans|QC|Quebec||"
"Saint-Flavien|QC|Quebec||"
"Grenville|QC|Quebec||"
"Chute-aux-Outardes|QC|Quebec||"
"Sainte-Marcelline-de-Kildare|QC|Quebec||"
"Saint-Felix-de-Kingsey|QC|Quebec||"
"Upper Island Cove|NL|Newfoundland and Labrador||"
"Glenelg|NB|New Brunswick||"
"Sainte-Elisabeth|QC|Quebec||"
"Ashcroft|BC|British Columbia||"
"Clarkes Beach|NL|Newfoundland and Labrador||"
"Saint-Bernard-de-Lacolle|QC|Quebec||"
"Belledune|NB|New Brunswick||"
"Saint-Guillaume|QC|Quebec||"
"Venise-en-Quebec|QC|Quebec||"
"Maliotenam|QC|Quebec||"
"Ripon|QC|Quebec||"
"Hilliers|BC|British Columbia||"
"Saint-Joseph|NB|New Brunswick||"
"Saint-Paulin|QC|Quebec||"
"Bon Accord|AB|Alberta||"
"Saint David|NB|New Brunswick||"
"Saint-Albert|QC|Quebec||"
"Matagami|QC|Quebec||"
"Springfield|NB|New Brunswick||"
"Amherst|QC|Quebec||"
"Notre-Dame-du-Laus|QC|Quebec||"
"St. George|NB|New Brunswick||"
"Wembley|AB|Alberta||"
"Victoria|MB|Manitoba||"
"Springbrook|AB|Alberta||"
"Saint-Tite-des-Caps|QC|Quebec||"
"Hudson Bay|SK|Saskatchewan||"
"Pinawa|MB|Manitoba||"
"Brudenell, Lyndoch and Raglan|ON|Ontario||"
"Carlyle|SK|Saskatchewan||"
"Keremeos|BC|British Columbia||"
"Val-Joli|QC|Quebec||"
"Gold River|BC|British Columbia||"
"Saint-Casimir|QC|Quebec||"
"Bay Bulls|NL|Newfoundland and Labrador||"
"Langham|SK|Saskatchewan||"
"Frenchman Butte|SK|Saskatchewan||"
"Gordon|NB|New Brunswick||"
"Kugluktuk|NU|Nunavut||"
"Saint-Malachie|QC|Quebec||"
"Southampton|NB|New Brunswick||"
"Salluit|QC|Quebec||"
"Pangnirtung|NU|Nunavut||"
"Saint-Louis-de-Gonzague|QC|Quebec||"
"Moosonee|ON|Ontario||"
"Englehart|ON|Ontario||"
"Saint-Urbain|QC|Quebec||"
"Tring-Jonction|QC|Quebec||"
"Nauwigewauk|NB|New Brunswick||"
"Pointe-a-la-Croix|QC|Quebec||"
"Denmark|NB|New Brunswick||"
"Saint-Joachim|QC|Quebec||"
"Torch River No. 488|SK|Saskatchewan||"
"Saint-Theodore-d'Acton|QC|Quebec||"
"Grindrod|BC|British Columbia||"
"L' Isle-Verte|QC|Quebec||"
"Harrison Hot Springs|BC|British Columbia||"
"Palmarolle|QC|Quebec||"
"Henryville|QC|Quebec||"
"Sussex Corner|NB|New Brunswick||"
"Saint-Odilon-de-Cranbourne|QC|Quebec||"
"Pipestone|MB|Manitoba||"
"Laurierville|QC|Quebec||"
"La Dore|QC|Quebec||"
"Lac-au-Saumon|QC|Quebec||"
"Wotton|QC|Quebec||"
"Prairie Lakes|MB|Manitoba||"
"Elk Point|AB|Alberta||"
"Shellbrook|SK|Saskatchewan||"
"Wemindji|QC|Quebec||"
"Cape Dorset|NU|Nunavut||"
"Strong|ON|Ontario||"
"Lappe|ON|Ontario||"
"Riviere-Heva|QC|Quebec||"
"Fort-Coulonge|QC|Quebec||"
"Irishtown-Summerside|NL|Newfoundland and Labrador||"
"Godmanchester|QC|Quebec||"
"Macklin|SK|Saskatchewan||"
"Armour|ON|Ontario||"
"Saint-Simon|QC|Quebec||"
"St. Francois Xavier|MB|Manitoba||"
"Tingwick|QC|Quebec||"
"Saint-Aubert|QC|Quebec||"
"Saint-Mathieu-du-Parc|QC|Quebec||"
"Wabasca|AB|Alberta||"
"Ragueneau|QC|Quebec||"
"Notre-Dame-du-Bon-Conseil|QC|Quebec||"
"Wasagamack|MB|Manitoba||"
"Saint-Ubalde|QC|Quebec||"
"Creighton|SK|Saskatchewan||"
"Fortune|NL|Newfoundland and Labrador||"
"Faraday|ON|Ontario||"
"Berthier-sur-Mer|QC|Quebec||"
